变量数n,我们的总复杂度,基线总复杂度,加速比
5.0,4400.0,23200.0,5.2727272727272725
7.0,4400.0,30400.0,6.909090909090909
11.0,6400.0,64000.0,10.0
14.0,6400.0,82000.0,12.8125
16.0,6400.0,90400.0,14.125
19.0,6400.0,110200.0,17.21875
21.0,6400.0,118600.0,18.53125
25.0,6400.0,148000.0,23.125
28.0,6400.0,166000.0,25.9375
30.0,6400.0,174400.0,27.25
