变量数n,我们的总复杂度,基线总复杂度,加速比
7.0,6400.0,37000.0,5.78125
10.0,6400.0,59800.0,9.34375
15.0,8400.0,95200.0,11.333333333333334
17.0,8400.0,118000.0,14.047619047619047
20.0,8400.0,137200.0,16.333333333333332
22.0,8400.0,146800.0,17.476190476190474
24.0,8400.0,166000.0,19.761904761904763
27.0,8400.0,185800.0,22.11904761904762
