application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector
Func-10,1,method,cobyla_iteration,1,256,1.0,1.0,0.061977099166442784,0.061977099166442784,0.9416398910907878,0.9416398910907878,94.16398910907878,94.16398910907878,0.061977099166442784,100.0,3.515625,-8.293904687500001,-8.8419,1.0,1.0,-8.293904687500001,-8.8419,COBYLA,ddsim,10,7,0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718
Func-10,2,method,cobyla_iteration,2,256,1.0,1.0,0.07096789336394664,0.061977099166442784,0.9337348077344932,0.9416398910907878,93.37348077344933,94.16398910907878,0.07096789336394664,100.0,0.390625,-8.214408984375,-8.8419,1.0,1.0,-8.214408984375,-8.8419,COBYLA,ddsim,10,7,1.22831853072;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718
Func-10,3,method,cobyla_iteration,3,256,1.0,1.0,0.06352801989083583,0.061977099166442784,0.940266717281829,0.9416398910907878,94.0266717281829,94.16398910907878,0.06352801989083583,100.0,7.03125,-8.2801916015625,-8.8419,1.0,1.0,-8.2801916015625,-8.8419,COBYLA,ddsim,10,7,0.628318530718;1.22831853072;0.628318530718;0.628318530718;0.628318530718;0.628318530718;0.628318530718
Func-10,4,method,cobyla_iteration,4,256,1.0,1.0,0.06923979334955148,0.061977099166442784,0.9352439052678281,0.9416398910907878,93.52439052678281,94.16398910907878,0.06923979334955148,100.0,6.640625,-8.229688671875,-8.8419,1.0,1.0,-8.229688671875,-8.8419,COBYLA,ddsim,10,7,0.628318530718;0.628318530718;1.22831853072;0.628318530718;0.628318530718;0.628318530718;0.628318530718
Func-10,5,method,cobyla_iteration,5,256,1.0,1.0,0.06405549330636577,0.061977099166442784,0.9398006084181526,0.9416398910907878,93.98006084181526,94.16398910907878,0.06405549330636577,100.0,3.125,-8.275527734375,-8.8419,1.0,1.0,-8.275527734375,-8.8419,COBYLA,ddsim,10,7,0.628318530718;0.628318530718;0.628318530718;1.22831853072;0.628318530718;0.628318530718;0.628318530718
Func-10,6,method,cobyla_iteration,6,256,1.0,1.0,0.046438998952644694,0.046438998952644694,0.9556218766701886,0.9556218766701886,95.56218766701886,95.56218766701886,0.046438998952644694,100.0,1.5625,-8.431291015625002,-8.8419,1.0,1.0,-8.431291015625002,-8.8419,COBYLA,ddsim,10,7,0.628318530718;0.628318530718;0.628318530718;0.628318530718;1.22831853072;0.628318530718;0.628318530718
Func-10,7,method,cobyla_iteration,7,256,1.0,1.0,0.06028789863212411,0.046438998952644694,0.9431400672308895,0.9556218766701886,94.31400672308895,95.56218766701886,0.06028789863212411,100.0,0.390625,-8.308840429687502,-8.8419,1.0,1.0,-8.308840429687502,-8.8419,COBYLA,ddsim,10,7,0.628318530718;0.628318530718;0.628318530718;0.628318530718;1.22831853072;1.22831853072;0.628318530718
Func-10,8,method,cobyla_iteration,8,256,1.0,1.0,0.055337459347354734,0.046438998952644694,0.9475642043621035,0.9556218766701886,94.75642043621035,95.56218766701886,0.055337459347354734,100.0,0.78125,-8.35261171875,-8.8419,1.0,1.0,-8.35261171875,-8.8419,COBYLA,ddsim,10,7,0.628318530718;0.628318530718;0.628318530718;0.628318530718;1.22831853072;0.628318530718;1.22831853072
Func-10,9,method,cobyla_iteration,9,256,1.0,1.0,0.021082899697556997,0.021082899697556997,0.979352411343093,0.979352411343093,97.93524113430931,97.93524113430931,0.021082899697556997,100.0,0.78125,-8.655487109375,-8.8419,1.0,1.0,-8.655487109375,-8.8419,COBYLA,ddsim,10,7,0.417170004161;0.591895204973;0.457754380109;0.579507507953;1.59323033868;0.303077545603;0.419338460693
Func-10,10,method,cobyla_iteration,10,256,1.0,1.0,0.07687453974329572,0.021082899697556997,0.9286132813933728,0.979352411343093,92.86132813933729,97.93524113430931,0.07687453974329572,100.0,0.0,-8.1621830078125,-8.8419,1.0,1.0,-8.1621830078125,-8.8419,COBYLA,ddsim,10,7,-0.00703921936398;0.518718702231;0.115081442387;0.481443427638;2.32272993918;-0.346721148468;0.00311446080058
