量子电路参数,我们的精度,基线精度
1.0,0.9802926421621007,0.0018329763902495593
2.0,0.9815091800635278,0.003089906990139201
3.0,0.9828187234422828,0.002363168993153931
4.0,0.9839448940303417,0.0014695080285623125
5.0,0.9846024819230402,0.001604302164475676
6.0,0.9832495812114732,0.0013742935312941308
7.0,0.9858814884557923,0.0013521124507127845
8.0,0.9872546185368902,0.0014964415273715907
9.0,0.9884234897721295,0.0016849208324735945
10.0,0.9917176476659586,0.0023827129592856734
11.0,0.9900580441389558,0.0027154383480765647
12.0,0.9854095490158157,0.0029083104527111853
13.0,0.9913905143774846,0.0019235047157173829
14.0,0.9931596026505638,0.002474692986112088
15.0,0.9935864376189028,0.0034938296549462964
16.0,0.9942372455126914,0.002999127491334147
17.0,0.9943951455380541,0.0034294437285542034
