变量数n,我们的门数量,基线门数量,我们的电路深度,基线电路深度,门数量加速比,电路深度加速比
7.0,59.0,584.0,32.0,185.0,9.898305084745763,5.78125
10.0,83.0,1196.0,32.0,299.0,14.409638554216867,9.34375
15.0,129.0,3066.0,42.0,476.0,23.767441860465116,11.333333333333334
17.0,142.0,3706.0,42.0,590.0,26.098591549295776,14.047619047619047
20.0,166.0,4996.0,42.0,686.0,30.096385542168676,16.333333333333332
22.0,179.0,5804.0,42.0,734.0,32.42458100558659,17.476190476190474
24.0,201.0,7392.0,42.0,830.0,36.776119402985074,19.761904761904763
27.0,225.0,9288.0,42.0,929.0,41.28,22.11904761904762
