变量数n,我们的门数量,基线门数量,我们的电路深度,基线电路深度,门数量加速比,电路深度加速比
4.0,14.0,186.0,10.0,159.0,13.285714285714286,15.9
5.0,66.0,644.0,46.0,516.0,9.757575757575758,11.217391304347826
6.0,66.0,2184.0,46.0,1566.0,33.09090909090909,34.04347826086956
7.0,186.0,5076.0,159.0,3429.0,27.29032258064516,21.566037735849058
8.0,186.0,10465.0,159.0,6539.0,56.263440860215056,41.125786163522015
9.0,644.0,19782.0,516.0,13194.0,30.717391304347824,25.569767441860463
10.0,644.0,36150.0,516.0,25775.0,56.13354037267081,49.951550387596896
11.0,2184.0,71352.0,1566.0,47952.0,32.67032967032967,30.620689655172413
12.0,2184.0,122850.0,1566.0,87000.0,56.25,55.55555555555556
13.0,5076.0,220668.0,3429.0,158472.0,43.472813238770684,46.21522309711286
14.0,5076.0,370771.0,3429.0,275932.0,73.04393223010244,80.47010790317877
15.0,10465.0,631900.0,6539.0,474280.0,60.38222646918299,72.53096803792629
16.0,10465.0,1022085.0,6539.0,787920.0,97.66698518872433,120.49548860682062
17.0,19782.0,1701728.0,13194.0,1322304.0,86.02406227883935,100.22010004547522
18.0,19782.0,2754102.0,13194.0,2194920.0,139.22262663026993,166.35743519781718
19.0,36150.0,4487134.0,25775.0,3623392.0,124.12542185338866,140.57776915615906
20.0,36150.0,6934500.0,25775.0,5631216.0,191.82572614107883,218.47588748787584
21.0,71352.0,11128956.0,47952.0,9123288.0,155.97258661284897,190.25875875875874
22.0,71352.0,16544712.0,47952.0,12880080.0,231.8745375042045,268.60360360360363
23.0,122850.0,24740625.0,87000.0,17051125.0,201.38888888888889,195.98994252873564
