变量数n,我们的门数量,基线门数量,我们的电路深度,基线电路深度,门数量加速比,电路深度加速比
6.0,49.0,116.0,30.0,52.0,2.36734693877551,1.7333333333333334
8.0,60.0,160.0,34.0,62.0,2.6666666666666665,1.8235294117647058
10.0,71.0,204.0,38.0,72.0,2.8732394366197185,1.894736842105263
12.0,98.0,452.0,46.0,129.0,4.612244897959184,2.8043478260869565
14.0,109.0,536.0,48.0,145.0,4.91743119266055,3.0208333333333335
16.0,120.0,620.0,50.0,151.0,5.166666666666667,3.02
18.0,147.0,1008.0,62.0,203.0,6.857142857142857,3.274193548387097
20.0,158.0,1132.0,64.0,225.0,7.1645569620253164,3.515625
