变量数n,我们的求解空间大小,基线求解空间大小,空间压缩倍数
5.0,6.0,32.0,5.333333333333333
7.0,12.0,128.0,10.666666666666666
11.0,48.0,2048.0,42.666666666666664
14.0,144.0,16384.0,113.77777777777777
16.0,288.0,65536.0,227.55555555555554
19.0,864.0,524288.0,606.8148148148148
21.0,1728.0,2097152.0,1213.6296296296296
25.0,6912.0,33554432.0,4854.518518518518
28.0,20736.0,268435456.0,12945.382716049382
30.0,41472.0,1073741824.0,25890.765432098764
