变量数n,我们的求解空间大小,基线求解空间大小,空间压缩倍数
7.0,12.0,128.0,10.666666666666666
10.0,36.0,1024.0,28.444444444444443
15.0,180.0,32768.0,182.04444444444445
17.0,360.0,131072.0,364.0888888888889
20.0,1080.0,1048576.0,970.9037037037037
22.0,2160.0,4194304.0,1941.8074074074075
24.0,4320.0,16777216.0,3883.614814814815
27.0,12960.0,134217728.0,10356.306172839506
