变量数n,我们的门数量,基线门数量,我们的电路深度,基线电路深度,门数量加速比,电路深度加速比
2.0,94.0,1344.0,61.0,925.0,14.297872340425531,15.163934426229508
3.0,94.0,2697.0,61.0,1855.0,28.69148936170213,30.40983606557377
4.0,104.0,4058.0,68.0,2785.0,39.01923076923077,40.955882352941174
5.0,120.0,5421.0,72.0,3715.0,45.175,51.59722222222222
6.0,141.0,6792.0,76.0,4645.0,48.170212765957444,61.11842105263158
7.0,167.0,8165.0,80.0,5575.0,48.89221556886228,69.6875
