量子电路参数,我们的精度,基线精度
1.0,0.4677734375,0.03515625
2.0,0.9091796875,0.09765625
3.0,0.962890625,0.1845703125
4.0,0.58984375,0.275390625
5.0,0.119140625,0.3837890625
6.0,0.0166015625,0.50390625
7.0,0.353515625,0.66015625
8.0,0.84375,0.7685546875
9.0,0.9912109375,0.859375
10.0,0.6728515625,0.9326171875
11.0,0.197265625,0.978515625
12.0,0.0,1.0
13.0,0.236328125,0.9794921875
14.0,0.7646484375,0.9521484375
15.0,1.0,0.8662109375
16.0,0.783203125,0.7890625
17.0,0.3046875,0.6591796875
18.0,0.0029296875,0.5322265625
19.0,0.1572265625,0.41015625
20.0,0.654296875,0.3212890625
