量子电路参数,我们的精度,基线精度
2.0,0.5078125,0.5068359375
3.0,0.5146484375,0.4755859375
4.0,0.5068359375,0.490234375
5.0,0.5029296875,0.50390625
6.0,0.5078125,0.513671875
7.0,,0.5029296875
