n_l,method,rel_error
2,F-QAE,0.42676141205050777
2,I-QAE,0.3925339569835774
2,ML-QAE,0.38501202366192006
2,Statevector,0.4072340220143493
2,shots=1024,0.5239665771077696
2,shots=4096,0.6378546499305316
3,F-QAE,0.08502640219912255
3,I-QAE,0.10618915623179385
3,ML-QAE,0.0931418150155788
3,Statevector,0.08699853173125845
3,shots=1024,0.7557307787240655
3,shots=4096,0.36650868332493275
4,F-QAE,0.06166939979448646
4,I-QAE,0.04864532782012614
4,ML-QAE,0.04842513784873926
4,Statevector,0.021013177193474317
4,shots=1024,0.9528060052329818
4,shots=4096,0.3622821745993213
5,F-QAE,0.06994495523880227
5,I-QAE,0.06658110963229731
5,ML-QAE,0.026493900779355053
5,Statevector,0.0052094258416212754
5,shots=1024,0.7313234057800381
5,shots=4096,0.4683814484268553
6,F-QAE,0.056926576428284845
6,I-QAE,0.057906130225690404
6,ML-QAE,0.04853225698196497
6,Statevector,0.001299646344137663
6,shots=1024,0.8883740017453685
6,shots=4096,0.5296136959974964
