asset,capital_weight,src,src_share,amplification,risk_tier,attribution_method
TSLA,0.1,0.015502142372077338,1.0567548128371402,10.567548128371401,High,quantum_rs
SO,0.1,0.0031477051412996428,0.2145737329475233,2.145737329475233,Low,quantum_rs
ED,0.1,0.0026922328301193788,0.18352495624290704,1.8352495624290703,Low,quantum_rs
DUK,0.1,0.002404550332096231,0.16391412716791678,1.6391412716791678,Low,quantum_rs
KO,0.1,0.0023784757669435483,0.1621366681847401,1.6213666818474008,Low,quantum_rs
JNJ,0.1,0.000423949815048983,0.028899941485596957,0.2889994148559695,Low,quantum_rs
TLT,0.1,-0.001523700875105321,-0.10386811025500478,-1.0386811025500478,Low,quantum_rs
IEF,0.1,-0.003058490806084599,-0.2084921426840783,-2.084921426840783,Low,quantum_rs
GOVT,0.1,-0.0032442921154703652,-0.22115790353262482,-2.211579035326248,Low,quantum_rs
SHY,0.1,-0.004052998985827336,-0.2762860823941166,-2.762860823941166,Low,quantum_rs
