metric,best_method,worst_method,best_value,worst_value,relative_gap,required_gap,passes_threshold
accuracy_gap,ML-QAE,I-QAE,0.018065647380618246,0.051135443295294694,0.6467098705628981,0.4,True
circuit_gap,I-QAE,F-QAE,47616.0,2620677.25,0.9818306508365348,0.5,True
