Risk Bucket,Quantile,Avg Volatility,Ann. Return,Max Drawdown
Low Volatility,Bottom 30%,0.10072614517917033,0.16032555362102419,-0.06811255753430297
Mid Volatility,Mid 40%,0.18053472540825605,0.3406030693158537,-0.11598581101986964
High Volatility,Top 30%,0.38714109030355626,0.5634314863960419,-0.4819564194149269
