method,mean_relative_error,std_relative_error,mean_oracle_calls,std_oracle_calls
F-QAE,0.03275333604977892,0.03302658211593206,2620677.25,6642.296305818164
I-QAE,0.051135443295294694,0.06622900660525238,47616.0,23783.016076904245
ML-QAE,0.018065647380618246,0.017945930755691092,76800.0,0.0
