n_l,method,rel_error
2,F-QAE,0.16015855267600995
2,I-QAE,0.16218545848220697
2,ML-QAE,0.15358878478644314
2,Statevector,0.1513735386366229
2,shots=1024,0.5117838394399017
2,shots=4096,0.20872159353711775
3,F-QAE,0.035517863937923874
3,I-QAE,0.041483957154678404
3,ML-QAE,0.03126350300289309
3,Statevector,0.03335143583971697
3,shots=1024,0.41208544222189203
3,shots=4096,0.22247493186487233
4,F-QAE,0.025172922547617254
4,I-QAE,0.04379619199462548
4,ML-QAE,0.023776153534718247
4,Statevector,0.008095213343293169
4,shots=1024,0.31830551381467953
4,shots=4096,0.20512457761975042
5,F-QAE,0.02716711949952795
5,I-QAE,0.03148445290417271
5,ML-QAE,0.01790968305722002
5,Statevector,0.00200915030739964
5,shots=1024,0.5116095366687344
5,shots=4096,0.28038958653972074
6,F-QAE,0.03337580050995241
6,I-QAE,0.02305634051225331
6,ML-QAE,0.02359243886247964
6,Statevector,0.0005013794890076509
6,shots=1024,0.44039926388144784
6,shots=4096,0.1959793047767825
