asset,bucket,src_es,src_rs,abs_diff,mae
TWLO,High,0.0199792470278759,0.019979247027875915,1.3877787807814457e-17,5.637851296924623e-18
SE,High,0.026599916861050146,0.02659991686105015,3.469446951953614e-18,5.637851296924623e-18
EVRG,Mid,-0.0017519307775856713,-0.0017519307775856682,3.0357660829594124e-18,5.637851296924623e-18
ES,Mid,-0.00245625425938606,-0.002456254259386066,6.071532165918825e-18,5.637851296924623e-18
AGG,Low,-0.011228744179982575,-0.011228744179982573,1.734723475976807e-18,5.637851296924623e-18
