n_l,method,rel_error
2,F-QAE,0.12385837332989066
2,I-QAE,0.12616199044010215
2,ML-QAE,0.1444347219817258
2,Statevector,0.14551107328077864
2,shots=1024,0.3046660563473959
2,shots=4096,0.18660681399613252
3,F-QAE,0.029169565731338616
3,I-QAE,0.048243454689276835
3,ML-QAE,0.03246357353959998
3,Statevector,0.032059785800089155
3,shots=1024,0.2978659327475373
3,shots=4096,0.14616765818247482
4,F-QAE,0.026316386135714537
4,I-QAE,0.03310954365827498
4,ML-QAE,0.01975431298435353
4,Statevector,0.0077816981265523945
4,shots=1024,0.39260661616521053
4,shots=4096,0.12870793753524934
5,F-QAE,0.02483367238564727
5,I-QAE,0.02069234405268562
5,ML-QAE,0.016175367781387485
5,Statevector,0.0019313389925506568
5,shots=1024,0.2703923908854205
5,shots=4096,0.19965955248231837
6,F-QAE,0.024705773186720133
6,I-QAE,0.04007538697031264
6,ML-QAE,0.015097140866496273
6,Statevector,0.00048196182911650705
6,shots=1024,0.2900119068951031
6,shots=4096,0.1323099086110079
