变量数n,我们的总复杂度,基线总复杂度,加速比
4.0,5200.0,8000.0,1.5384615384615385
6.0,10000.0,21000.0,2.1
8.0,8400.0,19800.0,2.357142857142857
10.0,13200.0,36400.0,2.757575757575758
12.0,18000.0,48800.0,2.7111111111111112
14.0,16400.0,50000.0,3.048780487804878
16.0,21200.0,67800.0,3.19811320754717
18.0,26000.0,81400.0,3.1307692307692307
