application_id,case_index,n,method_algorithm,baseline_algorithm,method_operation_count,baseline_operation_count,method_depth,baseline_depth,method_iterations,baseline_iterations,method_complexity,baseline_complexity,method_search_space,baseline_search_space,operation_speedup,complexity_speedup,search_space_reduction,case_descriptor,method_best_accuracy,baseline_best_accuracy,method_best_feasible_probability,baseline_best_feasible_probability,method_best_ARG,baseline_best_ARG,method_parameter_count,baseline_qaoa_layers,baseline_parameter_count,method_best_objective,baseline_best_objective,optimizer,scaling_iteration_policy,method_simulation_backend,baseline_simulation_backend
Func-6,1,6,rasengan,penalty_qaoa,49,116,30,52,200,200,6000,10400,2,64,2.36734693877551,1.7333333333333334,32.0,3,,,,,,,1,2,4,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,2,8,rasengan,penalty_qaoa,60,160,34,62,200,200,6800,12400,2,256,2.6666666666666665,1.8235294117647058,128.0,4,,,,,,,1,2,4,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,3,10,rasengan,penalty_qaoa,71,204,38,72,200,200,7600,14400,2,1024,2.8732394366197185,1.894736842105263,512.0,5,,,,,,,1,2,4,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,4,12,rasengan,penalty_qaoa,98,452,46,129,200,200,9200,25800,4,4096,4.612244897959184,2.8043478260869565,1024.0,"3,3",,,,,,,2,4,8,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,5,14,rasengan,penalty_qaoa,109,536,48,145,200,200,9600,29000,4,16384,4.91743119266055,3.0208333333333335,4096.0,"3,4",,,,,,,2,4,8,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,6,16,rasengan,penalty_qaoa,120,620,50,151,200,200,10000,30200,4,65536,5.166666666666667,3.02,16384.0,"4,4",,,,,,,2,4,8,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,7,18,rasengan,penalty_qaoa,147,1008,62,203,200,200,12400,40600,8,262144,6.857142857142857,3.274193548387097,32768.0,"3,3,3",,,,,,,3,6,12,,,COBYLA,fixed_budget,ddsim,ddsim
Func-6,8,20,rasengan,penalty_qaoa,158,1132,64,225,200,200,12800,45000,8,1048576,7.1645569620253164,3.515625,131072.0,"3,3,4",,,,,,,3,6,12,,,COBYLA,fixed_budget,ddsim,ddsim
