application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector
Func-6,1,method,cobyla_iteration,1,256,1.0,1.0,0.09758831530225091,0.09758831530225091,0.9110884163563846,0.9110884163563846,91.10884163563846,91.10884163563846,0.09758831530225091,100.0,40.625,-10.377734375,-11.500000000000002,1.0,1.0,10.377734375,11.500000000000002,COBYLA,ddsim,14,2,0.628318530718;0.628318530718
Func-6,2,method,cobyla_iteration,2,256,1.0,1.0,0.14517323382188987,0.09758831530225091,0.8732303292337787,0.9110884163563846,87.32303292337788,91.10884163563846,0.14517323382188987,100.0,8.203125,-9.8305078125,-11.500000000000002,1.0,1.0,9.8305078125,11.500000000000002,COBYLA,ddsim,14,2,1.22831853072;0.628318530718
Func-6,3,method,cobyla_iteration,3,256,1.0,1.0,0.17104619580091002,0.09758831530225091,0.8539372772703242,0.9110884163563846,85.39372772703243,91.10884163563846,0.17104619580091002,100.0,6.25,-9.532968749999998,-11.500000000000002,1.0,1.0,9.532968749999998,11.500000000000002,COBYLA,ddsim,14,2,0.628318530718;1.22831853072
Func-6,4,method,cobyla_iteration,4,256,1.0,1.0,0.0101732337044984,0.0101732337044984,0.9899292187071803,0.9899292187071803,98.99292187071804,98.99292187071804,0.0101732337044984,100.0,91.796875,-11.383007812500002,-11.500000000000002,1.0,1.0,11.383007812500002,11.500000000000002,COBYLA,ddsim,14,2,0.302110017445;0.124743307074
Func-6,5,method,cobyla_iteration,5,256,1.0,1.0,0.1121365490105537,0.0101732337044984,0.8991701611548335,0.9899292187071803,89.91701611548335,98.99292187071804,0.1121365490105537,100.0,30.859375,-10.2104296875,-11.500000000000002,1.0,1.0,10.2104296875,11.500000000000002,COBYLA,ddsim,14,2,-0.351116893841;-0.881882046457
Func-6,6,method,cobyla_iteration,6,256,1.0,1.0,0.045614809822273734,0.0101732337044984,0.956375130312063,0.9899292187071803,95.6375130312063,98.99292187071804,0.045614809822273734,100.0,69.921875,-10.975429687500002,-11.500000000000002,1.0,1.0,10.975429687500002,11.500000000000002,COBYLA,ddsim,14,2,-0.127415165498;0.543680196375
Func-6,7,method,cobyla_iteration,7,256,1.0,1.0,0.006711956527575688,0.006711956527575688,0.9933327934727952,0.9933327934727952,99.33327934727953,99.33327934727953,0.006711956527575688,100.0,94.53125,-11.422812500000001,-11.500000000000002,1.0,1.0,11.422812500000001,11.500000000000002,COBYLA,ddsim,14,2,0.184474967037;-0.15123132023
Func-6,8,method,cobyla_iteration,8,256,1.0,1.0,0.017404891319482592,0.006711956527575688,0.9828928566512884,0.9933327934727952,98.28928566512884,99.33327934727953,0.017404891319482592,100.0,86.328125,-11.29984375,-11.500000000000002,1.0,1.0,11.29984375,11.500000000000002,COBYLA,ddsim,14,2,0.30857727092;-0.235484617917
Func-6,9,method,cobyla_iteration,9,256,1.0,1.0,0.007615489137056971,0.006711956527575688,0.9924420682103854,0.9933327934727952,99.24420682103855,99.33327934727953,0.007615489137056971,100.0,94.140625,-11.412421875000001,-11.500000000000002,1.0,1.0,11.412421875000001,11.500000000000002,COBYLA,ddsim,14,2,0.1676243075;-0.176051781007
Func-6,10,method,cobyla_iteration,10,256,1.0,1.0,0.0024864130456404144,0.0024864130456404144,0.9975197538706919,0.9975197538706919,99.7519753870692,99.7519753870692,0.0024864130456404144,100.0,98.046875,-11.471406250000001,-11.500000000000002,1.0,1.0,11.471406250000001,11.500000000000002,COBYLA,ddsim,14,2,0.151863624519;-0.100867639475
Func-6,11,method,cobyla_iteration,11,256,1.0,1.0,0.0013043478272212214,0.0013043478272212214,0.9986973512798066,0.9986973512798066,99.86973512798066,99.86973512798066,0.0013043478272212214,100.0,98.828125,-11.485000000000001,-11.500000000000002,1.0,1.0,11.485000000000001,11.500000000000002,COBYLA,ddsim,14,2,0.0909008184287;0.00249355379163
Func-6,12,method,cobyla_iteration,12,256,1.0,1.0,0.0037737771771946317,0.0013043478272212214,0.996240410675195,0.9986973512798066,99.6240410675195,99.86973512798066,0.0037737771771946317,100.0,97.265625,-11.456601562500001,-11.500000000000002,1.0,1.0,11.456601562500001,11.500000000000002,COBYLA,ddsim,14,2,0.190760484721;0.0690371263443
Func-6,13,method,cobyla_iteration,13,256,1.0,1.0,0.0005910326092095193,0.0005910326092095193,0.9994093165039983,0.9994093165039983,99.94093165039983,99.94093165039983,0.0005910326092095193,100.0,99.609375,-11.493203125000003,-11.500000000000002,1.0,1.0,11.493203125000003,11.500000000000002,COBYLA,ddsim,14,2,0.0311830783105;-0.00331949318767
Func-6,14,method,cobyla_iteration,14,256,1.0,1.0,0.0,0.0,1.0,1.0,100.0,100.0,0.0,100.0,100.0,-11.500000000000002,-11.500000000000002,1.0,1.0,11.500000000000002,11.500000000000002,COBYLA,ddsim,14,2,-0.0256873980907;0.0158050699159
Func-6,15,method,cobyla_iteration,15,256,1.0,1.0,0.0017391304362948587,0.0,0.9982638888873819,1.0,99.8263888887382,100.0,0.0017391304362948587,100.0,98.4375,-11.480000000000002,-11.500000000000002,1.0,1.0,11.480000000000002,11.500000000000002,COBYLA,ddsim,14,2,-0.140349096856;-0.0195883593652
Func-6,16,method,cobyla_iteration,16,256,1.0,1.0,0.0017730978276287127,0.0,0.9982300404837445,1.0,99.82300404837446,100.0,0.0017730978276287127,100.0,98.828125,-11.479609375000003,-11.500000000000002,1.0,1.0,11.479609375000003,11.500000000000002,COBYLA,ddsim,14,2,-0.0212568042599;0.0756412616255
