量子电路参数,我们的精度,基线精度
1.0,0.10546875,0.0
2.0,0.38671875,0.0
3.0,0.57421875,0.0234375
4.0,0.8125,0.02734375
5.0,0.95703125,0.03515625
6.0,0.99609375,0.046875
7.0,0.8984375,0.07421875
8.0,0.73046875,0.078125
9.0,0.49609375,0.046875
10.0,0.2265625,0.0703125
11.0,0.078125,0.12890625
12.0,0.0,0.1640625
13.0,0.04296875,0.1875
14.0,0.265625,0.2109375
15.0,0.41796875,0.24609375
16.0,0.6796875,0.25
17.0,0.9140625,0.25
18.0,0.9921875,0.29296875
19.0,0.95703125,0.3359375
20.0,0.8359375,0.3828125
