变量数n,我们的求解空间大小,基线求解空间大小,空间压缩倍数
6.0,2.0,64.0,32.0
8.0,2.0,256.0,128.0
10.0,2.0,1024.0,512.0
12.0,4.0,4096.0,1024.0
14.0,4.0,16384.0,4096.0
16.0,4.0,65536.0,16384.0
18.0,8.0,262144.0,32768.0
20.0,8.0,1048576.0,131072.0
