变量数n,我们的总复杂度,基线总复杂度,加速比
6.0,6000.0,10400.0,1.7333333333333334
8.0,6800.0,12400.0,1.8235294117647058
10.0,7600.0,14400.0,1.894736842105263
12.0,9200.0,25800.0,2.8043478260869565
14.0,9600.0,29000.0,3.0208333333333335
16.0,10000.0,30200.0,3.02
18.0,12400.0,40600.0,3.274193548387097
20.0,12800.0,45000.0,3.515625
