application_id,case_index,n,method_algorithm,baseline_algorithm,method_operation_count,baseline_operation_count,method_depth,baseline_depth,method_iterations,baseline_iterations,method_complexity,baseline_complexity,method_search_space,baseline_search_space,operation_speedup,complexity_speedup,search_space_reduction,case_descriptor,method_best_accuracy,baseline_best_accuracy,method_best_feasible_probability,baseline_best_feasible_probability,method_best_ARG,baseline_best_ARG,method_parameter_count,baseline_qaoa_layers,baseline_parameter_count,method_best_objective,baseline_best_objective,optimizer,scaling_iteration_policy,method_simulation_backend,baseline_simulation_backend
Func-7,1,4,rasengan,penalty_qaoa,38,72,26,40,200,200,5200,8000,2,16,1.894736842105263,1.5384615384615385,8.0,2,,,,,,,1,2,4,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,2,6,rasengan,penalty_qaoa,72,228,50,105,200,200,10000,21000,3,64,3.1666666666666665,2.1,21.333333333333332,3,,,,,,,2,4,8,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,3,8,rasengan,penalty_qaoa,76,284,42,99,200,200,8400,19800,4,256,3.736842105263158,2.357142857142857,64.0,"2,2",,,,,,,2,4,8,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,4,10,rasengan,penalty_qaoa,110,554,66,182,200,200,13200,36400,6,1024,5.036363636363636,2.757575757575758,170.66666666666666,"2,3",,,,,,,3,6,12,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,5,12,rasengan,penalty_qaoa,144,912,90,244,200,200,18000,48800,9,4096,6.333333333333333,2.7111111111111112,455.1111111111111,"3,3",,,,,,,4,8,16,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,6,14,rasengan,penalty_qaoa,148,1020,82,250,200,200,16400,50000,12,16384,6.891891891891892,3.048780487804878,1365.3333333333333,"2,2,3",,,,,,,4,8,16,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,7,16,rasengan,penalty_qaoa,182,1492,106,339,200,200,21200,67800,18,65536,8.197802197802197,3.19811320754717,3640.8888888888887,"2,3,3",,,,,,,5,10,20,,,COBYLA,fixed_budget,ddsim,ddsim
Func-7,8,18,rasengan,penalty_qaoa,216,2052,130,407,200,200,26000,81400,27,262144,9.5,3.1307692307692307,9709.037037037036,"3,3,3",,,,,,,6,12,24,,,COBYLA,fixed_budget,ddsim,ddsim
