变量数n,我们的门数量,基线门数量,我们的电路深度,基线电路深度,门数量加速比,电路深度加速比
4.0,38.0,72.0,26.0,40.0,1.894736842105263,1.5384615384615385
6.0,72.0,228.0,50.0,105.0,3.1666666666666665,2.1
8.0,76.0,284.0,42.0,99.0,3.736842105263158,2.357142857142857
10.0,110.0,554.0,66.0,182.0,5.036363636363636,2.757575757575758
12.0,144.0,912.0,90.0,244.0,6.333333333333333,2.7111111111111112
14.0,148.0,1020.0,82.0,250.0,6.891891891891892,3.048780487804878
16.0,182.0,1492.0,106.0,339.0,8.197802197802197,3.19811320754717
18.0,216.0,2052.0,130.0,407.0,9.5,3.1307692307692307
