量子电路参数,我们的精度,基线精度
1.0,0.9110884163563846,0.0044291019885153516
2.0,0.8732303292337787,0.005775920340042371
3.0,0.8539372772703242,0.004764132011075565
4.0,0.9899292187071803,0.005220039557143059
5.0,0.8991701611548335,0.005268137078382594
6.0,0.956375130312063,0.004578251441755327
7.0,0.9933327934727952,0.004419278371547728
8.0,0.9828928566512884,0.004455101980751969
9.0,0.9924420682103854,0.004983109471912361
10.0,0.9975197538706919,0.005652331026797907
11.0,0.9986973512798066,0.004833460440075694
12.0,0.996240410675195,0.007018440899740205
13.0,0.9994093165039983,0.00500744448719281
14.0,1.0,0.004731967775061722
15.0,0.9982638888873819,0.004948246197926904
16.0,0.9982300404837445,0.005484396969695632
17.0,0.9991311902685762,0.006229717044211605
18.0,,0.005605035495075994
