变量数n,我们的求解空间大小,基线求解空间大小,空间压缩倍数
4.0,2.0,16.0,8.0
6.0,3.0,64.0,21.333333333333332
8.0,4.0,256.0,64.0
10.0,6.0,1024.0,170.66666666666666
12.0,9.0,4096.0,455.1111111111111
14.0,12.0,16384.0,1365.3333333333333
16.0,18.0,65536.0,3640.8888888888887
18.0,27.0,262144.0,9709.037037037036
