变量数n,我们的总复杂度,基线总复杂度,复杂度降低比例
6.0,6000.0,10400.0,0.42307692307692313
8.0,6800.0,12400.0,0.4516129032258065
10.0,7600.0,14400.0,0.4722222222222222
12.0,9200.0,25800.0,0.6434108527131783
14.0,9600.0,29000.0,0.6689655172413793
16.0,10000.0,30200.0,0.6688741721854304
18.0,12400.0,40600.0,0.6945812807881773
20.0,12800.0,45000.0,0.7155555555555555
