变量数n,我们的求解空间大小,基线求解空间大小,空间压缩倍数
3.0,4.0,8.0,2.0
4.0,8.0,16.0,2.0
5.0,16.0,32.0,2.0
6.0,32.0,64.0,2.0
7.0,64.0,128.0,2.0
