application_id,case_index,method_label,parameter_name,parameter_value,problem_n,compressed_qubits,shots,success_probability,precision,marked_state,noise_model,simulation_backend
Func-9,1,method,grover_iteration_r,1,7,4,256,0.44140625,0.44140625,1111,depolarizing_readout,aer_noise
Func-9,1,baseline,grover_iteration_r,1,7,4,256,0.0859375,0.0859375,1111111,depolarizing_readout,aer_noise
Func-9,2,method,grover_iteration_r,2,7,4,256,0.8984375,0.8984375,1111,depolarizing_readout,aer_noise
Func-9,2,baseline,grover_iteration_r,2,7,4,256,0.11328125,0.11328125,1111111,depolarizing_readout,aer_noise
Func-9,3,method,grover_iteration_r,3,7,4,256,0.94140625,0.94140625,1111,depolarizing_readout,aer_noise
Func-9,3,baseline,grover_iteration_r,3,7,4,256,0.26171875,0.26171875,1111111,depolarizing_readout,aer_noise
Func-9,4,method,grover_iteration_r,4,7,4,256,0.5546875,0.5546875,1111,depolarizing_readout,aer_noise
Func-9,4,baseline,grover_iteration_r,4,7,4,256,0.3125,0.3125,1111111,depolarizing_readout,aer_noise
Func-9,5,method,grover_iteration_r,5,7,4,256,0.125,0.125,1111,depolarizing_readout,aer_noise
Func-9,5,baseline,grover_iteration_r,5,7,4,256,0.41015625,0.41015625,1111111,depolarizing_readout,aer_noise
Func-9,6,method,grover_iteration_r,6,7,4,256,0.01953125,0.01953125,1111,depolarizing_readout,aer_noise
Func-9,6,baseline,grover_iteration_r,6,7,4,256,0.4609375,0.4609375,1111111,depolarizing_readout,aer_noise
Func-9,7,method,grover_iteration_r,7,7,4,256,0.328125,0.328125,1111,depolarizing_readout,aer_noise
Func-9,7,baseline,grover_iteration_r,7,7,4,256,0.4609375,0.4609375,1111111,depolarizing_readout,aer_noise
Func-9,8,method,grover_iteration_r,8,7,4,256,0.76171875,0.76171875,1111,depolarizing_readout,aer_noise
Func-9,8,baseline,grover_iteration_r,8,7,4,256,0.3984375,0.3984375,1111111,depolarizing_readout,aer_noise
Func-9,9,method,grover_iteration_r,9,7,4,256,0.90234375,0.90234375,1111,depolarizing_readout,aer_noise
Func-9,9,baseline,grover_iteration_r,9,7,4,256,0.40234375,0.40234375,1111111,depolarizing_readout,aer_noise
Func-9,10,method,grover_iteration_r,10,7,4,256,0.578125,0.578125,1111,depolarizing_readout,aer_noise
Func-9,10,baseline,grover_iteration_r,10,7,4,256,0.2734375,0.2734375,1111111,depolarizing_readout,aer_noise
Func-9,11,method,grover_iteration_r,11,7,4,256,0.21484375,0.21484375,1111,depolarizing_readout,aer_noise
Func-9,11,baseline,grover_iteration_r,11,7,4,256,0.25390625,0.25390625,1111111,depolarizing_readout,aer_noise
Func-9,12,method,grover_iteration_r,12,7,4,256,0.01953125,0.01953125,1111,depolarizing_readout,aer_noise
Func-9,12,baseline,grover_iteration_r,12,7,4,256,0.1640625,0.1640625,1111111,depolarizing_readout,aer_noise
Func-9,13,method,grover_iteration_r,13,7,4,256,0.2265625,0.2265625,1111,depolarizing_readout,aer_noise
Func-9,13,baseline,grover_iteration_r,13,7,4,256,0.1640625,0.1640625,1111111,depolarizing_readout,aer_noise
Func-9,14,method,grover_iteration_r,14,7,4,256,0.59375,0.59375,1111,depolarizing_readout,aer_noise
Func-9,14,baseline,grover_iteration_r,14,7,4,256,0.0546875,0.0546875,1111111,depolarizing_readout,aer_noise
Func-9,15,method,grover_iteration_r,15,7,4,256,0.8671875,0.8671875,1111,depolarizing_readout,aer_noise
Func-9,15,baseline,grover_iteration_r,15,7,4,256,0.0546875,0.0546875,1111111,depolarizing_readout,aer_noise
Func-9,16,method,grover_iteration_r,16,7,4,256,0.68359375,0.68359375,1111,depolarizing_readout,aer_noise
Func-9,16,baseline,grover_iteration_r,16,7,4,256,0.0234375,0.0234375,1111111,depolarizing_readout,aer_noise
Func-9,17,method,grover_iteration_r,17,7,4,256,0.26171875,0.26171875,1111,depolarizing_readout,aer_noise
Func-9,17,baseline,grover_iteration_r,17,7,4,256,0.03515625,0.03515625,1111111,depolarizing_readout,aer_noise
Func-9,18,method,grover_iteration_r,18,7,4,256,0.03125,0.03125,1111,depolarizing_readout,aer_noise
Func-9,18,baseline,grover_iteration_r,18,7,4,256,0.046875,0.046875,1111111,depolarizing_readout,aer_noise
Func-9,19,method,grover_iteration_r,19,7,4,256,0.19140625,0.19140625,1111,depolarizing_readout,aer_noise
Func-9,19,baseline,grover_iteration_r,19,7,4,256,0.03125,0.03125,1111111,depolarizing_readout,aer_noise
Func-9,20,method,grover_iteration_r,20,7,4,256,0.5234375,0.5234375,1111,depolarizing_readout,aer_noise
Func-9,20,baseline,grover_iteration_r,20,7,4,256,0.0390625,0.0390625,1111111,depolarizing_readout,aer_noise
