量子电路参数,我们的精度,基线精度
1.0,0.9416398910907878,0.0027068195198791532
2.0,0.9337348077344932,0.0057131004876147355
3.0,0.940266717281829,0.0029235696802201406
4.0,0.9352439052678281,0.0031821737825628773
5.0,0.9398006084181526,0.0028961633768477147
6.0,0.9556218766701886,0.003145170328170253
7.0,0.9431400672308895,0.0029458605550414857
8.0,0.9475642043621035,0.00300533750478904
9.0,0.979352411343093,0.0028712488128886334
10.0,0.9286132813933728,0.0025953859940142723
11.0,0.9729087717848687,0.0026026611519869283
12.0,0.9741824854421054,0.0026131585901572204
13.0,0.9709784218705565,0.002715768459716397
14.0,0.9835851183190985,0.0029227532853671498
15.0,0.98507310691776,0.0027539932349024236
16.0,0.9816794341850055,0.003743642987033502
17.0,0.98467372246035,0.003923989508535302
